IATA_CODE,,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
TWF,,Twin Falls,ID,USA,42.4818,-114.48774
TXK,,Texarkana,AR,USA,33.45371,-93.99102
TYR,,Tyler,TX,USA,32.35414,-95.40239
TYS,,Knoxville,TN,USA,35.81249,-83.99286
VCT,,Victoria County,TX,USA,28.8523,-96.9199
VIS,,Vernal,UT,USA,40.4409,-109.50992
VLD,,Valdosta,GA,USA,30.7825,-83.27672
VPS,,Valparaiso,FL,USA,30.48325,-86.5254
WRG,,Wrangell,AK,USA,56.48433,-132.36982
WYS,,West Yellowstone,MT,USA,44.6884,-111.11764
XNA,,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681
YAK,,Yakutat,AK,USA,59.50336,-139.66023
YUM,,Yuma,AZ,USA,32.65658,-114.60597
